City,State,Latitude,Longitude
Pompano Beach,FL,26.234772,-80.120584
Summerville,SC,33.051384,-80.18854
Falfurrias,TX,27.223209,-98.145056
Earle,AR,35.27509,-90.46677
Lusk,WY,42.964197,-104.385106
Milton,PA,40.993883,-76.847896
Central Square,NY,43.28674,-76.14604
Greenland,NH,43.0362,-70.83283
Meridian,MS,32.381605,-88.663489
Longmont,CO,40.164837,-105.103179
Winnsboro,SC,34.387337,-81.082923
Winnfield,LA,31.914948,-92.669269
Metter,GA,33.09374,-84.57382
Jane Lew,WV,39.109143,-80.441713
Federal Way,WA,47.307713,-122.315773
Seguin,TX,29.578734,-97.951829
Remington,IN,40.76087,-87.15085
Georgetown,TX,30.668034,-97.574706
Orlando,FL,28.545179,-81.373291
Algona,IA,43.109313,-94.166994
Boise,ID,43.603768,-116.272921
Savannah,GA,33.09374,-84.57382
Kannapolis,NC,35.462981,-80.672531
Springfield,VT,43.28904,-72.47592
Perry,GA,32.43194,-83.722649
Cartersville,GA,34.200787,-84.847108
Orange,TX,30.071743,-93.864976
Livingston,TX,30.682947,-94.897605
Anna,OH,40.407239,-84.203271
Jefferson,IA,42.007323,-94.372586
South Saint Paul,MN,44.890315,-93.049879
Sinclair,WY,41.780239,-107.117226
Lovelock,NV,40.251285,-118.400276
Winnie,TX,29.823383,-94.475364
Fort Bridger,WY,41.295023,-110.399094
Parowan,UT,37.823412,-112.849246
Saint Joseph,MO,39.765442,-94.844432
Tuscola,IL,39.787385,-88.274137
South Bend,IN,41.673383,-86.251654
Toledo,OH,41.720684,-83.569359
Brazil,IN,39.52365,-87.12502
Wilmington,OH,39.444985,-83.824424
Snow Shoe,PA,41.03089,-77.94945
Alice,TX,27.703829,-98.055296
New Baltimore,MI,42.67424,-82.773842
Warren,IN,40.712066,-85.468798
Hogansburg,NY,44.980232,-74.647334
Albert Lea,MN,43.686288,-93.389838
Chamberlain,SD,43.752355,-99.301892
Loretto,PA,40.517191,-78.61487
Cochranton,PA,41.51838,-80.047368
Albany,NY,42.614852,-73.970812
West Helena,AR,34.530216,-90.681442
Columbus,MT,45.657453,-109.206617
Newport,AR,35.569278,-91.203951
Emporia,VA,36.694745,-77.535517
Burlington,CO,39.30611,-102.26936
Crook,CO,40.85888,-102.80103
Denver,CO,39.760189,-104.996553
Jackson,MN,43.650174,-95.021954
Colorado Springs,CO,38.828893,-104.809929
Perry,OK,36.318709,-97.285561
Greenwood,DE,38.82458,-75.588771
Deer Lodge,MT,46.401859,-112.642136
Bradenton,FL,27.404731,-82.470456
Palisades Park,NJ,40.84816,-73.99764
Fort Lauderdale,FL,26.121323,-80.127909
Lebanon,TN,36.267266,-86.291167
Moberly,MO,39.425513,-92.428348
Lake Placid,FL,27.336002,-81.36628
Mattawan,MI,42.244501,-85.805041
Garland,TX,32.931523,-96.615821
Elk City,OK,35.419594,-99.437791
Macclenny,FL,30.28218,-82.12206
El Dorado,AR,33.187446,-92.630038
Baldwin,WI,44.96663,-92.37436
Anderson,SC,34.506502,-82.605626
Russellville,AR,35.279127,-93.140877
Rocky Mount,VA,36.995127,-79.852489
Miami,FL,25.558428,-80.458168
Pryor,OK,36.307279,-95.271696
Enid,OK,36.402681,-97.843091
Atlanta,GA,33.844371,-84.47405
Douglas,GA,31.509338,-82.857131
Midway,GA,33.09374,-84.57382
Thomasville,GA,30.853592,-83.888269
Bemidji,MN,47.571964,-94.801272
Post Falls,ID,47.719292,-116.96746
Port Wentworth,GA,31.911689,-84.506058
Resaca,GA,34.583318,-84.906803
Grand Prairie,TX,32.776671,-97.009389
Bunker Hill,KS,38.868931,-98.676303
Rising Fawn,GA,34.813904,-85.501868
Jean,NV,35.736806,-115.540529
Lawrenceburg,IN,39.152741,-84.891015
Pleasant View,TN,36.402067,-87.032016
Corfu,NY,42.978522,-78.372338
Shreveport,LA,32.498202,-93.750228
Winchester,KY,37.964922,-84.160724
Conley,GA,33.636858,-84.337139
Gap,PA,40.011961,-76.021595
Colfax,IA,41.684507,-93.222321
Dickinson,ND,46.805716,-102.756514
Hope Hull,AL,32.206441,-86.380464
Dubuque,IA,42.545412,-90.6963
Gilman,IL,40.7667,-87.99226
Peosta,IA,42.432281,-90.808309
Combes,TX,26.252832,-97.743596
Evansdale,IA,42.46915,-92.28102
Richmond Hill,GA,31.93827,-81.30344
Bois D Arc,MO,37.224385,-93.540803
Pulaski,GA,32.390728,-81.952461
New Virginia,IA,41.18222,-93.72883
Missouri Valley,IA,41.605102,-95.908803
Sikeston,MO,36.87672,-89.58786
Moriarty,NM,34.94103,-106.055796
Bethany,MO,40.258215,-94.020972
Toledo,IA,42.068965,-92.551725
Underwood,IA,41.382994,-95.721535
Delco,NC,34.283839,-78.260664
Rogers,MN,45.168896,-93.574586
Waterloo,IA,42.441117,-92.339209
Williamsburg,IA,41.649999,-92.065181
Glencoe,KY,38.732647,-84.805495
Lindale,TX,32.506185,-95.400598
Bonners Ferry,ID,48.814078,-116.398202
Wenatchee,WA,47.573816,-120.351884
Virginia Beach,VA,36.844004,-76.12036
Cornersville,TN,35.354815,-86.829364
Plymouth,UT,41.883058,-112.138837
Bloomington,IL,40.476771,-88.992995
Metropolis,IL,37.228995,-88.714524
Mahomet,IL,40.19531,-88.40422
Fergus Falls,MN,46.275351,-96.089852
Greenwood,LA,32.429968,-93.989086
Wildwood,FL,28.844473,-82.078342
Lexington,VA,37.779976,-79.443495
Warrenton,VA,38.689832,-77.836115
Lincoln,IL,40.162779,-89.398361
Marshall,IL,39.39143,-87.69364
Mokena,IL,41.52614,-87.88922
Bergen,NY,43.073792,-78.019684
Belmont,NY,42.242168,-77.963148
Aledo,TX,32.69596,-97.60225
Accident,MD,39.6287,-79.31976
Smithton,PA,40.155299,-79.738092
Straughn,IN,39.83059,-85.284275
Beach,ND,46.91807,-104.00437
West Liberty,IA,41.56919,-91.26071
Weatherford,TX,32.780766,-97.806778
Mountain Home,ID,43.156195,-115.720455
Trinidad,CO,37.269059,-104.5038
Lincoln,AL,33.61316,-86.11831
Beaumont,TX,30.073712,-94.109705
Motley,MN,46.288105,-94.563773
Three Forks,MT,46.858307,-109.023705
Newton,KS,38.044857,-97.317279
Woodhull,IL,41.208513,-90.230506
Commerce,GA,34.217179,-83.482653
Odessa,TX,31.765163,-102.354346
Nampa,ID,43.595567,-116.61063
Greenville,IL,38.884421,-89.423032
Wauseon,OH,41.59151,-84.178148
Cloverdale,IN,39.51477,-86.7939
Sandusky,OH,41.399129,-82.724417
La Place,LA,30.156056,-90.436745
Corbin,KY,36.854371,-84.184688
Clanton,AL,32.856632,-86.652875
Rural Retreat,VA,36.880988,-81.25526
Wisconsin Rapids,WI,44.340837,-89.73492
Marshall,MI,42.265016,-84.948946
Wilson,WI,44.919366,-92.192828
Billings,MT,45.686966,-108.387392
Centreville,MD,39.084003,-76.091375
Linden,NJ,40.626953,-74.250939
Pevely,MO,38.293157,-90.429283
Mount Vernon,MO,37.064637,-93.824061
Winston,MO,39.874071,-94.153677
Cameron,MO,39.74028,-94.24106
Laurel,MS,31.711733,-89.114317
Taylor,MO,39.913861,-91.541024
Fairmont,WV,39.494115,-80.221282
Whitestown,IN,40.022608,-86.346179
Cuba,MO,38.100081,-91.368908
Quaker City,OH,40.040755,-81.313561
Belden,MS,34.31466,-88.78962
Franklin,KY,36.740598,-86.583305
Hobart,IN,41.53226,-87.25504
Kenly,NC,35.59627,-78.12416
Poynette,WI,43.433273,-89.394518
Montpelier,ID,42.28644,-111.29681
Robertsdale,AL,30.5538,-87.71193
Oakley,KS,38.945805,-100.970176
Atalissa,IA,41.57058,-91.16682
Eunice,LA,30.49437,-92.41763
Monett,MO,36.92895,-93.92771
Elkton,MD,39.56186,-75.87574
Norton,KS,39.827955,-99.891726
Edgerton,WI,42.803797,-89.101389
Neelyville,MO,36.56172,-90.50622
Candler,NC,35.5365,-82.69291
Olathe,KS,38.899901,-94.831991
Hammond,LA,30.533587,-90.455381
Pratt,KS,37.63857,-98.758512
Kearny,NJ,40.75175,-74.122937
Moses Lake,WA,47.180684,-119.298979
Troutville,VA,37.41819,-79.87476
North Lima,OH,40.656203,-84.148673
Tallapoosa,GA,33.770057,-85.261585
Northfield,MN,44.4583,-93.1616
Fremont,OH,41.35622,-83.133981
Le Mars,IA,42.79416,-96.16558
Wrens,GA,33.192426,-82.361546
Manheim,PA,40.155927,-76.464018
Ogden,UT,41.221328,-111.957685
San Simon,AZ,32.26786,-109.22756
Max Meadows,VA,36.905629,-80.924423
Concordia,KS,39.551634,-97.656764
Beaver Dam,KY,37.355569,-86.864676
Meade,KS,37.238357,-100.316583
Caneyville,KY,37.42422,-86.48831
Idaho Falls,ID,43.54241,-111.877936
Glendale,KY,37.60173,-85.90552
Cocoa,FL,28.373,-80.742906
Halsey,OR,44.385837,-123.115961
Punta Gorda,FL,26.902989,-82.046244
East Bernstadt,KY,37.248761,-84.13796
Hancock,MD,39.69898,-78.17973
Marston,MO,36.51895,-89.61258
Limon,CO,39.041435,-103.604851
Mount Airy,NC,36.444303,-80.665406
Mount Vernon,IL,38.787524,-89.040989
Gurdon,AR,33.930011,-93.129994
Columbia,MO,38.894165,-92.274145
Norwood,MO,37.160913,-92.415178
Columbus,NE,41.542962,-97.376314
Columbia,SC,33.987454,-81.024864
Lake Charles,LA,30.233355,-93.214903
Paducah,KY,37.031586,-88.713292
North Canton,OH,40.699991,-80.886068
Mandan,ND,46.71312,-100.952585
Rice,TX,32.24376,-96.4986
Mansfield,LA,32.039947,-93.709777
Yakima,WA,46.722625,-120.406039
Lebanon,IN,40.050302,-86.490381
Sorrento,LA,30.18436,-90.85926
Waddy,KY,38.122662,-85.103096
George West,TX,28.302094,-98.104154
Chicopee,MA,42.154904,-72.602804
Waynesville,NC,35.48871,-82.98875
Dakota,MN,43.91358,-91.35986
Madison,GA,33.591117,-83.492928
Big Rapids,MI,43.69808,-85.48366
Dalhart,TX,36.277826,-102.602022
Jessup,MD,39.155266,-76.813394
Menomonie,WI,44.867809,-91.943198
Marlette,MI,43.357539,-83.002816
Lake Park,GA,30.68215,-83.17959
Perry,MI,44.662952,-84.089518
Port Huron,MI,42.984014,-82.467461
Belgium,WI,43.499631,-87.918042
Sawyer,MI,41.899733,-86.571325
Loganton,PA,41.018519,-77.341611
Linwood,NC,35.743919,-80.349473
Alden,MN,43.733525,-93.532143
Hardeeville,SC,32.244037,-81.074835
Monee,IL,41.412269,-87.786645
Faribault,MN,44.36287,-93.267456
Mankato,MN,44.128325,-93.978863
Rothsay,MN,46.529553,-96.349085
Sauk Centre,MN,45.638568,-94.974275
Shakopee,MN,44.79861,-93.51944
Saint Charles,MN,43.96941,-92.06433
Harrisonburg,VA,38.422777,-78.877137
Mount Holly,NJ,40.00233,-74.7885
Barnhart,MO,38.334232,-90.453027
Lake Mills,WI,43.080902,-88.913251
Rapid City,SD,44.145868,-103.206866
Texarkana,TX,33.411321,-94.177354
Okawville,IL,38.433952,-89.511013
Ozona,TX,30.798496,-101.498604
Beresford,SD,43.08054,-96.77366
Perry,FL,30.17247,-83.609333
Lafayette,LA,30.24171,-91.991044
Petersburg,VA,37.209159,-77.497484
Amelia Court House,VA,37.342768,-77.984092
Arkadelphia,AR,34.031343,-93.111452
Roswell,NM,33.637061,-104.377926
Chillicothe,MO,39.795225,-93.588876
Junction,TX,30.49687,-99.776055
Deerfield,MO,37.83865,-94.50607
South Sioux City,NE,42.459711,-96.457068
Hillsville,VA,36.730347,-80.67507
Eolia,MO,39.280278,-90.980854
Mendon,OH,40.67338,-84.51884
Hannibal,MO,39.736986,-91.45683
Hialeah,FL,25.909809,-80.388874
Holt,MO,39.45278,-94.34217
Fulton,MO,38.830203,-91.966756
Elm Creek,NE,40.779914,-99.331426
Waverly,OH,39.12674,-82.98546
Huntington,OR,44.432748,-117.389163
Batesville,AR,35.768738,-91.652338
Grand Bay,AL,30.498046,-88.332468
Walcott,IA,41.61358,-90.753478
Grain Valley,MO,39.01501,-94.19856
Nevada,MO,37.83921,-94.35467
Portland,MI,44.662952,-84.089518
Dexter,MI,42.353887,-83.898295
Mifflintown,PA,40.571404,-77.317266
Breaux Bridge,LA,30.27353,-91.89928
Heflin,AL,33.627166,-85.502022
Ozark,MO,37.02089,-93.20602
Stony Creek,VA,36.878331,-77.392824
Harrisville,PA,41.13673,-80.00922
Portage,WI,43.53915,-89.46262
Richfield,WI,43.2727,-88.206716
West Coxsackie,NY,42.390394,-73.979062
Gallup,NM,35.534983,-108.737949
Minot,ND,48.084625,-101.419006
El Paso,TX,31.763608,-106.484592
Platte City,MO,39.364716,-94.780639
