City,State,Latitude,Longitude
El Dorado,KS,37.830491,-96.865969
Conway,SC,33.868775,-78.948287
Wadesboro,NC,34.924469,-80.05003
Olmito,TX,26.02314,-97.5378
Tupelo,MS,34.221257,-88.775002
Hobbs,NM,32.703708,-103.485112
Delta,OH,41.57366,-84.00522
Rockbridge,OH,39.525792,-82.606994
Alvada,OH,41.054782,-83.391792
Stroud,OK,35.709676,-96.745384
Evergreen,AL,31.489241,-87.052004
Selma,AL,32.43372,-87.055532
Winfield,AL,33.92899,-87.81725
Lonoke,AR,34.81247,-91.905399
Sweetwater,TN,35.571343,-84.410561
Spencer,SD,43.723565,-97.581441
Bridgeville,DE,38.74261,-75.60437
Jasper,FL,30.495814,-82.985428
Jennings,FL,30.555263,-83.148179
Wapello,IA,41.203527,-91.207463
Bensenville,IL,41.959701,-87.941835
Gas City,IN,40.48726,-85.61303
Murray,KY,36.625349,-88.279562
Fairfield,ME,44.646261,-69.680158
Dixon,IL,41.809229,-89.417156
Denton,MD,38.859523,-75.835702
Sherman,MS,34.35927,-88.84117
Fort Erie,ON,42.121293,-80.088919
Kingston,ON,41.96973,-74.06678
Sudbury,ON,43.799229,-73.204558
Minonk,IL,40.90448,-89.03452
Sherwood Park,AB,37.057924,-76.348833
Milroy,PA,40.740026,-77.493466
Kingsville,TX,27.422876,-97.84068
Childersburg,AL,33.245885,-86.364148
Oxford,AL,33.614271,-85.834965
Riviera,TX,27.297687,-97.787713
Wapakoneta,OH,40.582252,-84.152138
Chandler,AZ,33.324113,-111.878217
Saskatoon,SK,48.288633,-124.397803
Baxter,TN,36.118922,-85.663021
Cedar Grove,TN,35.87179,-88.529538
Maquoketa,IA,42.19807,-90.605827
Mission,TX,26.228735,-98.376167
Mortons Gap,KY,37.249018,-87.461536
Lolo,MT,46.7454,-114.299241
Atkins,AR,35.24647,-92.93656
Mifflinville,PA,41.03069,-76.29958
South Hutchinson,KS,38.02807,-97.94033
Middlesboro,KY,36.669566,-83.693159
Bowie,TX,33.530011,-97.856849
Colonial Heights,VA,37.26219,-77.396989
Fort Mill,SC,35.050243,-80.990828
Hanceville,AL,34.034276,-86.841753
Warner,NH,43.310858,-71.842299
Raymond,NH,43.05932,-71.204521
Hutchins,TX,32.6493,-96.71305
Center Point,IA,42.197041,-91.744447
Monmouth,IL,40.924563,-90.618313
Francis Creek,WI,44.197537,-87.713043
Rolla,MO,37.898204,-91.797641
De Pere,WI,44.44888,-88.06038
Caddo Mills,TX,33.076823,-96.219803
Brigham City,UT,41.537922,-112.061761
Ormond Beach,FL,29.284784,-81.161348
Providence Forge,VA,37.453467,-77.033714
Headingley,MB,36.61698,-99.74734
Winnipeg,MB,36.61698,-99.74734
East Syracuse,NY,43.006593,-76.184214
Brady,TX,31.150939,-99.337237
Calvert City,KY,36.986553,-88.373197
Columbia,TN,35.623997,-87.00404
Airdrie,AB,41.332034,-96.949369
Lakeland,FL,28.035908,-81.899669
Tilbury,ON,44.655522,-92.256292
Wayland,MO,40.39449,-91.58321
Chilliwack,BC,45.784462,-93.552152
Abbotsford,BC,44.94636,-90.31597
Grande Prairie,AB,33.73159,-88.28993
Dawson Creek,BC,31.76615,-84.438586
Mississauga,ON,44.655522,-92.256292
New Westminster,BC,39.830822,-105.03747
Yorkton,SK,40.19855,-85.509272
Portage La Prairie,MB,,
Regina,SK,36.1947,-106.94545
Lloydminster,AB,41.332034,-96.949369
Creston,BC,41.049896,-94.347137
Moose Jaw,SK,36.631935,-94.898421
Kapuskasing,ON,44.655522,-92.256292
Delta,BC,38.74221,-108.06896
Albany,GA,31.560674,-84.176751
Fenton,MO,38.529903,-90.46737
Skowhegan,ME,44.769303,-69.593975
Pacific,MO,38.504462,-90.788981
Mccammon,ID,42.611881,-112.207443
Erskine,MN,47.665688,-95.99807
Castleton On Hudson,NY,42.51841,-73.75123
Olympia,WA,46.984767,-122.869079
Hinton,OK,35.473233,-98.36371
Newton,IA,41.718107,-93.012335
Hudson,CO,40.051416,-104.612139
Hartford,IL,38.827848,-90.092606
Portersville,PA,40.92284,-80.14228
Hogansville,GA,33.144151,-84.960566
Swansboro,NC,34.68766,-77.11912
Rocky Point,NC,34.477635,-77.816971
Raeford,NC,34.953431,-79.233178
Plymouth,NC,35.86683,-76.74856
Asheboro,NC,35.727975,-79.786966
Chocowinity,NC,35.460458,-77.063047
Fayetteville,NC,35.0748,-78.884257
Midland,NC,35.250608,-80.535601
Williamston,NC,35.821205,-77.102193
Longs,SC,33.93851,-78.73307
Columbus,WI,43.3569,-89.12088
Kankakee,IL,41.111151,-87.874618
Jasper,TN,35.097012,-85.589691
Cicero,IN,40.12393,-86.01332
Somerset,KY,37.10288,-84.544294
Channahon,IL,41.43313,-88.199325
Sparta,KY,38.731246,-84.895823
Ellsworth,IA,42.325487,-93.55153
Grinnell,IA,41.685324,-92.630258
Coloma,WI,44.026085,-89.486854
Ames,IA,42.037879,-93.600254
Monroe,IA,41.569003,-93.101184
Vandalia,IL,38.982404,-89.051628
Hamburg,PA,40.55565,-75.98188
Scipio,UT,39.249513,-112.106366
Carroll,OH,39.80114,-82.706291
Ellis,KS,38.93807,-99.56067
Madison,FL,30.527068,-83.388742
Charles City,IA,43.059926,-92.789058
Cresco,IA,43.35666,-92.189287
Denver,IA,42.686195,-92.387102
Calmar,IA,43.168758,-91.867666
Rochester,MN,44.075285,-92.516916
Rushford,MN,43.76212,-91.845163
Blue Earth,MN,43.6503,-93.977974
Eyota,MN,44.009932,-92.264837
Spencer,WI,44.75774,-90.2968
Blair,WI,44.251701,-91.264753
New Richmond,WI,45.090925,-92.496993
Chippewa Falls,WI,44.958689,-91.319492
Watertown,WI,43.132599,-88.743595
Richland Center,WI,43.366148,-90.430225
Ripon,WI,43.8422,-88.83594
Ladysmith,WI,45.490835,-91.0943
Verona,WI,42.995697,-89.566512
Rice Lake,WI,45.519692,-91.826575
Onalaska,WI,43.886664,-91.130399
Hortonville,WI,44.342058,-88.588244
La Crosse,WI,43.806197,-91.140529
Brillion,WI,44.163209,-88.133876
Wonewoc,WI,43.690867,-90.203595
Frierson,LA,32.25183,-93.6899
Elkin,NC,36.318035,-80.799944
Jacksonville,NC,34.754586,-77.507427
Methuen,MA,42.73184,-71.186915
Mccomb,MS,31.1769,-90.40156
Princeton,ME,45.209229,-67.575432
Lincoln,ME,45.366794,-68.49299
Gouldsboro,PA,41.24453,-75.45602
Belle Plaine,MN,44.608912,-93.757888
Columbia Falls,MT,48.37246,-114.18152
Manchester,IA,42.492356,-91.39658
Red Wing,MN,44.521909,-92.537774
Saint Paul,IN,39.4281,-85.62831
Surrency,GA,31.731163,-82.194912
Chambersburg,PA,39.93759,-77.6611
Gordonsville,TN,36.17256,-85.92971
Dows,IA,42.651566,-93.582732
Steele,AL,33.916778,-86.243593
Fox Lake,WI,43.568169,-88.895723
Gordon,TX,32.616663,-98.368583
Sherburn,MN,43.667369,-94.759431
Elk Point,SD,42.76399,-96.676742
Sibley,IA,43.377681,-95.624809
Bethany,LA,32.37321,-94.04269
Bardstown,KY,37.822585,-85.466944
Lapeer,MI,43.121459,-83.319558
Scott City,MO,37.21672,-89.52453
Diboll,TX,31.18713,-94.78104
Boise City,OK,36.742042,-102.510484
Saint Paul,NE,41.232405,-98.503283
Brooks,AB,38.06695,-85.71677
Anamosa,IA,42.10352,-91.240145
Elliston,VA,37.216522,-80.232543
Peshtigo,WI,45.05443,-87.74927
Conneaut,OH,41.94756,-80.55424
River Falls,WI,44.802351,-92.595365
Darien,GA,31.413831,-81.369263
Sumner,WA,47.209445,-122.227319
Manitowoc,WI,44.109709,-87.714403
Viroqua,WI,43.530515,-90.991573
Kenosha,WI,42.622449,-87.830375
Rabun Gap,GA,34.944609,-83.381415
Branchville,SC,33.272291,-80.792496
Hermosa,SD,43.838528,-103.19146
Saint-Liboire,QC,38.363228,-89.713921
Buckeye,AZ,33.37032,-112.58378
Waycross,GA,31.224262,-82.359628
Tipton,IA,41.772503,-91.13248
Welton,IA,41.90808,-90.59541
Ottawa,IL,41.34559,-88.84258
Lowry City,MO,38.141625,-93.725048
Hot Springs,SD,43.314186,-103.528353
Tama,IA,41.934093,-92.585494
Burns,WY,41.235922,-104.378477
East Freedom,PA,40.349335,-78.442466
Stockton,IL,42.349517,-90.085356
Sutton,MA,42.126575,-71.755193
Carrizo Springs,TX,28.507128,-99.726018
Hearne,TX,30.925686,-96.581229
Tiffin,IA,41.701791,-91.677347
Shawnee,OK,35.295843,-96.960092
Spearville,KS,37.729884,-99.715817
Carteret,NJ,40.583203,-74.234839
Monroe Township,NJ,40.812878,-74.442376
Carroll,IA,42.042547,-94.8338
Haines City,FL,28.075834,-81.592933
Newark,DE,39.614737,-75.701277
Shippensburg,PA,40.070789,-77.45983
Candia,NH,43.059283,-71.305437
Rhome,TX,33.05346,-97.47197
Morgantown,WV,39.609911,-79.983141
Niota,TN,35.542073,-84.582782
Monteagle,TN,35.264698,-85.822933
Fort Mcmurray,AB,40.277848,-80.083943
Valleyview,AB,39.965619,-83.072408
Brandon,MB,28.119579,-82.451959
Kitchener,ON,44.655522,-92.256292
Brampton,ON,44.655522,-92.256292
Dryden,ON,42.477712,-76.291224
Dugald,MB,36.61698,-99.74734
Fort Saskatchewan,AB,41.332034,-96.949369
Quesnel,BC,45.784462,-93.552152
Fort St John,BC,41.453965,-87.453086
Milton,ON,30.792885,-86.985834
Burlington,ON,36.029833,-79.49161
Hornby,ON,42.116167,-79.862829
Windsor,ON,38.532827,-122.8041
Ayr,ON,40.429989,-98.463055
Cedar Falls,IA,42.517091,-92.43585
Byron,MN,43.988227,-92.599372
Lake City,MN,44.421753,-92.232221
Joelton,TN,36.326101,-86.899299
West Unity,OH,41.591453,-84.447033
Bennett,CO,39.869384,-104.458336
Cottondale,FL,30.79714,-85.3766
Hutchinson,MN,44.875565,-94.266332
Chilton,WI,44.020561,-88.185906
Mullinville,KS,37.58613,-99.47567
Ottawa,KS,38.564337,-95.282668
Duffield,VA,36.711382,-82.833676
Ellenboro,WV,39.26452,-81.05622
Jonesville,NC,36.210523,-80.801365
Ellabell,GA,32.159233,-81.502963
Gainesville,FL,29.648993,-82.324515
Virginia,IL,39.958003,-90.176415
Ellsinore,MO,36.934404,-90.746313
Waupaca,WI,44.35803,-89.08595
Zumbrota,MN,44.287597,-92.693235
Godley,TX,32.418496,-97.530566
Sabetha,KS,39.899941,-95.802372
Thermal,CA,33.5578,-116.157152
White Hall,AR,34.257661,-92.012103
Beloit,KS,39.441631,-98.119189
Cozad,NE,40.895003,-99.967448
Story City,IA,42.158072,-93.610141
Cedar Rapids,IA,41.976612,-91.657578
Hesston,KS,38.137404,-97.443222
Mexia,TX,31.674789,-96.52153
Morehead,KY,38.210471,-83.42039
Timmonsville,SC,34.062595,-79.933777
Bowman,ND,46.205537,-103.521263
Arcadia,LA,32.54904,-92.92016
Casselton,ND,46.90053,-97.2112
Land O Lakes,FL,28.165519,-82.511384
Clearwater,FL,27.978147,-82.781523
Volga,SD,44.32358,-96.92645
Gaylord,MN,44.572583,-94.191699
Hartford,AL,31.105822,-85.690252
Poplar Grove,IL,42.392537,-88.811894
Greenville,NC,35.580444,-77.392609
Vanceboro,NC,35.31313,-77.177912
Rocky Mount,NC,35.913276,-77.730779
West Point,NE,41.870968,-96.777787
Ord,NE,41.603603,-98.932718
Kingfisher,OK,35.897508,-97.92563
Fabens,TX,31.519675,-106.20338
Brookhaven,MS,31.563224,-90.470661
Orange Grove,TX,27.942358,-98.06417
Haskell,TX,33.207016,-99.717417
La Villa,TX,26.299892,-97.924718
Brownsville,TX,25.963264,-97.550453
Hebbronville,TX,27.07069,-98.692717
Stokesdale,NC,36.225751,-79.974028
Vanceburg,KY,38.469945,-83.270248
Childress,TX,34.4104,-100.236376
Mount Pleasant,MS,34.953584,-89.523027
Ninnekah,OK,34.932908,-97.939225
Montvale,VA,37.419582,-79.710746
Lewisport,KY,37.911077,-86.882034
Whitehorse,YT,45.27054,-100.88653
Lewiston Woodville,NC,36.093332,-77.143875
Fort Morgan,CO,40.262591,-103.847648
Wrightsville,PA,39.983859,-76.518703
Havana,IL,40.30004,-90.06095
Corinne,UT,41.55104,-112.11023
Kingsport,TN,36.514384,-82.547615
Oneill,NE,42.370456,-98.665685
Coushatta,LA,32.023096,-93.264819
Ozark,AL,31.450171,-85.65182
Mooresville,IN,39.61282,-86.37416
Spencer,IA,43.13291,-95.177909
Supply,NC,34.01767,-78.2675
Tollesboro,KY,38.55952,-83.57603
Travelers Rest,SC,35.071632,-82.374186
Trumann,AR,35.588215,-90.561977
Troy,AL,31.764156,-86.003013
Richland,GA,32.074331,-84.718627
Marshall,WI,43.173921,-89.091315
Parsons,KS,37.34034,-95.26108
Buda,TX,30.108361,-97.989275
Hidalgo,TX,26.10035,-98.26307
Felton,DE,39.033438,-75.609891
Stephenson,MI,45.447416,-87.61396
Jemison,AL,32.970056,-86.734146
Black Rock,AR,36.132344,-91.187361
Oakland,MS,34.102656,-89.855317
Opa Locka,FL,25.902317,-80.250327
Huntsville,TX,30.846986,-95.597029
Vernal,UT,40.630436,-109.483101
Okolona,MS,34.00178,-88.75533
New Cumberland,PA,40.23231,-76.8847
Beebe,AR,35.07064,-91.87959
Stillwater,OK,36.101521,-97.069061
Berwick,LA,29.692879,-91.251811
Aztec,NM,36.842198,-107.818288
De Beque,CO,39.292409,-108.210688
Kenner,LA,29.99171,-90.258065
Turrell,AR,35.343902,-90.297822
Leesburg,FL,28.758895,-81.888695
Kermit,TX,31.808357,-103.1135
Prescott,KS,38.06364,-94.69551
Colorado City,CO,37.94411,-104.84545
Delaware,NJ,40.89288,-75.06462
Monroe Center,IL,42.108224,-88.998128
Adrian,MN,43.620754,-95.953225
Baton Rouge,LA,30.44924,-91.185607
Panama City,FL,30.159737,-85.660922
Alma,GA,31.576952,-82.461197
Columbus,MS,33.393933,-88.504719
Webster,FL,28.60999,-82.05508
Greensburg,LA,30.83074,-90.67176
Ebensburg,PA,40.459581,-78.771875
Warner,OK,35.49426,-95.30552
Pelzer,SC,34.656799,-82.535325
Whitesburg,GA,33.09374,-84.57382
Lena,WI,44.9511,-88.04677
Sloan,IA,42.23277,-96.22808
Willacoochee,GA,31.361682,-82.968235
Yuma,CO,40.061817,-102.618522
Waterbury,CT,41.556461,-73.045886
Hardy,AR,36.178441,-91.481669
Mc Crory,AR,35.259987,-91.219846
Hot Springs National Park,AR,34.526841,-92.958697
Prescott,AZ,34.591349,-112.426312
Montgomery,IL,41.73058,-88.3459
Salisbury,MA,42.851234,-70.865667
Middle River,MD,39.33428,-76.43161
Marcus,IA,42.76416,-95.786406
Odebolt,IA,42.31221,-95.25055
Wilton,ND,47.1586,-100.78347
Ulysses,KS,37.562467,-101.308565
Elgin,NE,41.982761,-98.083714
Leesville,LA,31.125636,-93.173622
Chadron,NE,42.774479,-103.138479
White Pigeon,MI,41.79811,-85.64332
Mathews,LA,29.693833,-90.549555
Auburn,NH,42.989151,-71.343576
Adrian,MI,41.889943,-84.065892
Holly,MI,42.775922,-83.579384
Grand Rapids,MI,42.956176,-85.660693
Pine City,MN,45.825,-92.96806
Grafton,OH,41.2745,-82.046168
Holland,OH,41.628501,-83.751138
Minneapolis,MN,44.984577,-93.269097
Roseau,MN,48.704839,-95.750383
Rittman,OH,40.97811,-81.78208
Raton,NM,36.90336,-104.43915
Rogersville,MO,37.224224,-92.983202
Bellefonte,PA,40.897823,-77.773188
Philadelphia,PA,40.001811,-75.11787
Morrisville,PA,40.208408,-74.82914
Shoemakersville,PA,40.50093,-75.96993
Blossburg,PA,41.67952,-77.06386
Fallon,NV,39.479393,-118.296879
Montezuma,NY,43.01006,-76.70328
Reno,NV,39.525749,-119.813051
Castle Creek,NY,42.243783,-75.90689
Houston,MS,33.911901,-88.931148
Hazleton,PA,40.947134,-75.957126
Dayton,TN,35.49396,-85.01245
Altoona,PA,40.489433,-78.349874
Tazewell,TN,36.471886,-83.52214
Spartanburg,SC,34.934028,-82.010697
Hamshire,TX,29.851906,-94.289265
Canadian,TX,35.904503,-100.384093
Derby,VT,44.96721,-72.068265
Hooks,TX,33.46623,-94.28853
Weslaco,TX,26.158623,-97.989155
Alvarado,TX,32.421034,-97.196279
Leakey,TX,29.865649,-99.686783
Fredericktown,MO,37.490565,-90.336244
Tularosa,NM,33.172467,-105.960356
Marlin,TX,31.249621,-96.885602
New Hampton,IA,42.731454,-93.230657
Harrison,AR,36.295086,-93.092861
Andalusia,AL,31.3085,-86.48329
Lancaster,ON,34.713292,-118.15292
Monroe,GA,33.788322,-83.701264
Galesburg,IL,40.944559,-90.385282
Medford,WI,45.164705,-90.445798
Luverne,MN,43.698546,-96.163242
Johnson Creek,WI,43.07195,-88.79344
Evergreen,NC,34.420379,-78.894652
Liberty Hill,TX,30.715353,-97.91191
Hastings,MN,44.74306,-92.84694
Moore,TX,29.059489,-99.020436
Marion,TX,29.567879,-98.130236
George,WA,47.079243,-119.860117
Elkins,WV,38.92594,-79.84673
Mc Donald,TN,35.11341,-84.98273
Merrillville,IN,41.497212,-87.338656
Comfort,TX,29.97155,-98.90414
Joaquin,TX,31.966633,-94.058836
Elizabeth City,NC,36.285388,-76.213284
Fayetteville,PA,39.91196,-77.56599
Abbeville,SC,34.215714,-82.446307
Russellville,KY,36.845273,-86.882321
Waco,NE,40.886702,-97.437812
Johnston,RI,41.82744,-71.519879
Dacula,GA,33.988309,-83.879494
Canton,MO,40.12504,-91.62516
Clintonville,WI,44.62053,-88.76232
Plymouth,WI,43.768454,-87.975773
Pawnee,OK,36.306976,-96.706208
Lamesa,TX,32.715593,-101.937544
Longview,TX,32.517846,-94.730285
Shelbina,MO,39.739181,-92.067449
Refugio,TX,28.281826,-97.297783
Santo,TX,32.635934,-98.179314
Uvalde,TX,29.240446,-99.727018
Roebling,NJ,40.11594,-74.78627
Rockport,IN,37.929173,-87.033681
Lime Springs,IA,43.410582,-92.276168
Cuthbert,GA,31.731183,-84.832234
Coopersville,MI,43.062122,-85.959758
New Iberia,LA,29.949527,-91.832747
Burlington,WI,42.692103,-88.228793
Jupiter,FL,26.936558,-80.131851
Lamont,FL,30.37715,-83.81294
Pocatello,ID,42.904933,-112.380079
Dubois,ID,44.177432,-112.219898
Ashland,PA,40.751575,-76.360586
Palmetto,GA,33.559191,-84.710082
Gordon,GA,32.881267,-83.302945
Rosenhayn,NJ,39.47817,-75.13129
Pekin,IL,40.548928,-89.638839
Flora,IL,38.710797,-88.493686
Ahoskie,NC,36.339311,-76.990498
Lovell,WY,44.83745,-108.38956
Madisonville,KY,37.299458,-87.532576
Garyville,LA,30.07963,-90.62511
Galliano,LA,29.437009,-90.304724
Granger,WA,46.340157,-120.15493
Orange,MA,42.59721,-72.3032
Koshkonong,MO,36.596757,-91.645491
Mount Enterprise,TX,31.966905,-94.687331
Whitakers,NC,36.124661,-77.825049
Harrisburg,NC,35.32375,-80.6559
Marietta,PA,40.05704,-76.55219
Shullsburg,WI,42.57334,-90.23096
Fancy Gap,VA,36.667972,-80.675229
New Haven,IN,41.102098,-84.962038
Moss Point,MS,30.546682,-88.489452
Roberts,WI,44.974357,-92.59762
Dartmouth,NS,41.756214,-71.067062
Kitwanga,BC,45.784462,-93.552152
Williston,ND,48.225729,-103.649047
Piedmont,SD,44.220524,-103.272284
Fairmont,NE,40.641428,-97.559927
Bridgewater,MA,41.973741,-70.976558
Elgin,TX,30.308019,-97.36044
Schriever,LA,29.691176,-90.863923
Roanoke,LA,30.246362,-92.742134
Mansfield,OH,40.762711,-82.51189
Pulaski,NY,43.560497,-76.15532
Horseheads,NY,42.21003,-76.836629
Belle Rose,LA,30.03307,-91.077279
Beeville,TX,28.488192,-97.730956
Homestead,FL,25.526889,-80.499812
Frankfort,IL,41.49587,-87.84866
Roosevelt,UT,40.266539,-110.106937
Cochrane,ON,44.22746,-91.83516
Unionville,MO,40.50952,-93.012329
Artesia,NM,32.771797,-104.219669
Nogales,AZ,31.387978,-110.912001
Morton,MS,32.402897,-89.594886
Blanco,TX,30.137027,-98.419985
Madisonville,TX,30.970828,-95.890751
Loris,SC,33.977392,-78.918109
Eagle,MI,42.85703,-84.759243
Natalia,TX,29.199959,-98.847138
Lancaster,NY,42.907658,-78.632137
Heron Lake,MN,43.795977,-95.320571
Seekonk,MA,41.840103,-71.318995
Richlands,NC,34.860048,-77.581206
Pampa,TX,35.515114,-100.836363
Stringtown,OK,34.456722,-96.012309
Saint Marys,GA,30.73051,-81.54649
Lampasas,TX,31.183225,-98.236306
Hewitt,TX,31.46239,-97.19584
Vidalia,LA,31.56544,-91.42595
Hope,BC,33.673559,-93.606807
Pearsall,TX,28.867782,-99.108227
Caledonia,MN,43.635474,-91.458938
Broken Bow,NE,41.451119,-99.621491
Cairo,NE,41.00112,-98.60757
Kernersville,NC,36.118312,-80.101271
Myton,UT,40.200074,-110.049034
Cotulla,TX,28.43693,-99.23503
Annawan,IL,41.425519,-89.924636
Lenoir City,TN,35.826473,-84.28365
Lowell,MI,42.969378,-85.384134
Rockford,MI,44.662952,-84.089518
Hudsonville,MI,42.861575,-85.935917
Pioneer,TN,36.418966,-84.201074
Hertford,NC,36.168529,-76.373128
Mason,OH,39.36006,-84.30994
Medicine Lodge,KS,37.291739,-98.620996
Waxahachie,TX,32.376984,-96.843682
Jackson,NE,42.452053,-96.631738
Natick,MA,42.28343,-71.3495
Fort Valley,GA,32.560698,-83.854528
Big Lake,TX,31.417011,-101.5423
Chisago City,MN,45.362621,-92.902261
